uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
165,History,Music Club,"Problem Solving, Data Analysis, Programming, Leadership, Artistic, Public Speaking",Psychology,3.18,English,Art Club,Cybersecurity
166,Biology,Sports Team,"Data Analysis, Leadership, Problem Solving",Computer Science,3.8,English,"Music Club, Art Club, Coding Club, Volunteer Group, Sports Team, Debate Club",Cybersecurity
167,Mathematics,Music Club,Problem Solving,Mathematics,2.31,"German, Japanese, Spanish, English",Sports Team,Astrophysics
168,History,Debate Club,"Programming, Leadership",Psychology,3.01,"German, English, Chinese, Spanish, French",Volunteer Group,Political Science
169,Computer Science,Art Club,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving, Leadership",Psychology,3.68,Spanish,"Coding Club, Sports Team, Music Club, Debate Club",Biomedical Engineering
170,Biology,Coding Club,"Data Analysis, Leadership, Problem Solving, Public Speaking",Psychology,3.69,"Spanish, Chinese, English, German, Japanese","Sports Team, Volunteer Group, Art Club, Coding Club, Music Club, Debate Club",Biomedical Engineering
171,Physics,Debate Club,"Artistic, Problem Solving",Psychology,2.83,"French, German, Spanish, Chinese",Music Club,Political Science
172,History,Debate Club,Leadership,History,3.81,French,"Debate Club, Music Club, Coding Club, Volunteer Group, Art Club, Sports Team",Bioinformatics
173,Physics,Debate Club,"Problem Solving, Artistic",History,3.19,"Spanish, German, Chinese","Coding Club, Music Club, Debate Club, Sports Team",Bioinformatics
174,Mathematics,Coding Club,"Artistic, Data Analysis",History,2.06,"French, Chinese, German, Spanish, Japanese",Volunteer Group,Astrophysics
175,Mathematics,Sports Team,"Leadership, Artistic, Programming",Mathematics,3.97,"Chinese, German","Coding Club, Volunteer Group",Social Sciences
176,Psychology,Art Club,"Problem Solving, Artistic, Programming, Data Analysis, Public Speaking, Leadership",History,3,"German, Japanese","Sports Team, Coding Club",Behavioral Economics
177,Biology,Debate Club,"Programming, Public Speaking, Problem Solving, Leadership, Data Analysis",Computer Science,3.27,"English, German",Volunteer Group,Environmental Sustainability
178,Biology,Volunteer Group,"Data Analysis, Artistic, Public Speaking, Problem Solving, Programming",Psychology,2.96,Japanese,"Sports Team, Volunteer Group, Music Club, Coding Club, Art Club",Cybersecurity
179,Psychology,Debate Club,"Problem Solving, Leadership, Public Speaking, Data Analysis",Mathematics,3.31,English,"Debate Club, Coding Club, Sports Team, Art Club, Music Club, Volunteer Group",Space Exploration
180,Computer Science,Art Club,"Problem Solving, Leadership, Programming, Artistic, Public Speaking, Data Analysis",Psychology,3.81,"German, Chinese, Spanish, English, Japanese","Music Club, Sports Team, Coding Club, Debate Club, Art Club",Robotics
181,Computer Science,Volunteer Group,"Problem Solving, Leadership, Data Analysis, Artistic",Computer Science,3.53,"Spanish, Japanese, English, German, Chinese, French",Art Club,Robotics
182,Biology,Art Club,"Programming, Data Analysis, Artistic",Psychology,3.9,Spanish,"Sports Team, Music Club",Renewable Energy
183,Computer Science,Volunteer Group,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis",Mathematics,3.01,"Japanese, Chinese, Spanish, German, English","Volunteer Group, Art Club, Music Club",Nanotechnology
184,History,Volunteer Group,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming",History,3.38,"French, German, English, Chinese, Spanish","Volunteer Group, Art Club, Coding Club, Debate Club",Astrophysics
185,History,Music Club,"Leadership, Programming, Artistic",History,2.93,"Japanese, Chinese, Spanish","Volunteer Group, Art Club, Sports Team",Climate Change
186,Psychology,Coding Club,"Artistic, Data Analysis, Public Speaking, Programming, Leadership",Biology,3.18,"English, Japanese, German, French, Spanish, Chinese",Art Club,Environmental Sustainability
187,Physics,Music Club,"Leadership, Programming",Biology,3.27,"Chinese, English, German, Spanish, Japanese","Art Club, Coding Club",Behavioral Economics
188,Biology,Music Club,"Programming, Data Analysis, Public Speaking, Artistic, Leadership",Computer Science,2.77,"German, English","Art Club, Debate Club, Volunteer Group",Educational Technology
189,Mathematics,Coding Club,"Programming, Artistic, Data Analysis, Leadership",Biology,3.22,"Spanish, English, French, German, Chinese, Japanese","Sports Team, Art Club",Cybersecurity
190,Mathematics,Volunteer Group,"Programming, Artistic",Psychology,3.19,"French, English, German, Japanese, Chinese, Spanish","Coding Club, Debate Club, Volunteer Group, Sports Team, Art Club",Environmental Sustainability
191,Computer Science,Volunteer Group,"Public Speaking, Data Analysis",Mathematics,2.4,"German, Spanish, English, Japanese","Sports Team, Volunteer Group",Cognitive Psychology
192,Biology,Coding Club,Programming,Psychology,3.92,"English, French, German, Japanese","Sports Team, Art Club, Debate Club, Volunteer Group, Music Club",Astrophysics
193,Physics,Art Club,Artistic,Biology,2.19,"German, Japanese, Spanish, English, French",Volunteer Group,Human-Computer Interaction
194,Mathematics,Coding Club,Leadership,History,2.01,"English, Spanish","Volunteer Group, Coding Club, Debate Club, Music Club, Art Club",Quantum Computing
195,Computer Science,Volunteer Group,Programming,Biology,2.12,"French, Japanese","Music Club, Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team",Educational Technology
196,Biology,Sports Team,"Programming, Problem Solving, Data Analysis, Artistic, Public Speaking, Leadership",Physics,3.09,"French, Chinese, Japanese","Music Club, Art Club",Environmental Sustainability
197,Psychology,Volunteer Group,"Leadership, Programming",Biology,2.64,Japanese,"Debate Club, Music Club, Coding Club, Sports Team, Volunteer Group",Human-Computer Interaction
198,Mathematics,Sports Team,Data Analysis,Psychology,3.61,"Japanese, Spanish, French, English, German",Music Club,Astrophysics
199,Physics,Music Club,"Artistic, Public Speaking",History,2.85,"English, Chinese, Japanese, German, Spanish, French","Sports Team, Art Club, Volunteer Group, Coding Club, Debate Club",Nanotechnology
200,Computer Science,Music Club,"Problem Solving, Data Analysis, Leadership, Artistic",History,2.58,"French, Spanish, German, Japanese, Chinese","Volunteer Group, Coding Club",Climate Change
201,Biology,Volunteer Group,"Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking",Computer Science,2.8,"French, Chinese","Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
202,Physics,Music Club,"Public Speaking, Artistic, Programming, Data Analysis, Leadership, Problem Solving",Mathematics,2.14,"German, French","Sports Team, Coding Club, Debate Club, Art Club",Space Exploration
203,History,Music Club,"Leadership, Artistic, Data Analysis, Problem Solving, Public Speaking, Programming",History,3.19,"Chinese, Spanish, German, French, English, Japanese","Volunteer Group, Art Club, Sports Team, Debate Club",Healthcare Management
204,History,Debate Club,"Leadership, Problem Solving",Computer Science,2.52,Japanese,"Volunteer Group, Sports Team, Music Club, Art Club",Healthcare Management
205,Psychology,Debate Club,Programming,Computer Science,2.66,"French, Spanish, Japanese, German",Coding Club,Human-Computer Interaction
206,History,Sports Team,Data Analysis,Biology,3.93,"French, Spanish, Japanese, Chinese, English, German","Sports Team, Art Club, Music Club",Data Science
207,Mathematics,Art Club,"Problem Solving, Artistic, Data Analysis",Physics,3.48,"French, Spanish, German, English","Volunteer Group, Sports Team, Art Club, Coding Club, Debate Club",Cognitive Psychology
208,Physics,Volunteer Group,"Data Analysis, Public Speaking, Artistic",Physics,3.31,"Chinese, English, German, Spanish, Japanese","Volunteer Group, Coding Club",Machine Learning
209,History,Art Club,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming",Computer Science,3.5,"French, German",Sports Team,Cognitive Psychology
210,Mathematics,Music Club,"Problem Solving, Public Speaking, Programming, Leadership",Physics,3.76,"Japanese, German, French","Volunteer Group, Art Club, Coding Club, Sports Team",Artificial Intelligence
211,Biology,Music Club,"Public Speaking, Programming, Data Analysis",Computer Science,2.69,"Japanese, English, Spanish, French, German, Chinese",Debate Club,Robotics
212,Mathematics,Coding Club,"Leadership, Programming, Data Analysis, Artistic, Problem Solving",Psychology,2.47,Japanese,"Volunteer Group, Debate Club, Sports Team, Music Club, Art Club, Coding Club",Cognitive Psychology
213,Physics,Sports Team,"Public Speaking, Programming, Data Analysis",Computer Science,3.79,"French, German, Japanese, English","Debate Club, Sports Team, Art Club",Blockchain Technology
214,Biology,Volunteer Group,Artistic,Biology,3.34,"English, Japanese, Chinese, Spanish","Art Club, Music Club, Sports Team",Natural Language Processing
215,Mathematics,Art Club,"Leadership, Artistic, Public Speaking, Programming, Problem Solving",History,2.99,"French, Japanese",Music Club,Biomedical Engineering
216,Mathematics,Volunteer Group,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving",History,3.16,"French, Chinese, German, Japanese","Debate Club, Sports Team, Volunteer Group, Coding Club",Robotics
217,Computer Science,Debate Club,"Data Analysis, Artistic, Problem Solving, Programming, Public Speaking, Leadership",History,2.69,"English, Spanish",Debate Club,Biomedical Engineering
218,Biology,Coding Club,"Programming, Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Biology,3.06,"French, Japanese, Chinese, English, Spanish",Art Club,Nanotechnology
219,Computer Science,Art Club,"Programming, Problem Solving, Data Analysis, Public Speaking, Artistic, Leadership",Biology,3.59,"Spanish, Japanese, German","Music Club, Debate Club, Coding Club",Machine Learning
220,Psychology,Art Club,"Data Analysis, Leadership",Biology,3.24,"Spanish, English, Japanese, German, French","Sports Team, Volunteer Group",Blockchain Technology
221,Physics,Debate Club,"Programming, Data Analysis, Public Speaking, Problem Solving",History,2.1,"German, Japanese, Spanish","Music Club, Coding Club, Sports Team",Artificial Intelligence
222,History,Volunteer Group,"Data Analysis, Artistic, Public Speaking",Physics,3.49,Spanish,"Coding Club, Debate Club, Music Club, Volunteer Group, Art Club",Artificial Intelligence
223,History,Volunteer Group,"Leadership, Problem Solving, Data Analysis",Biology,2.06,"Japanese, English, Spanish, Chinese, French",Music Club,Robotics
224,Psychology,Coding Club,"Programming, Public Speaking, Problem Solving, Artistic, Leadership, Data Analysis",Physics,2.54,"French, German, Spanish, Chinese, English, Japanese",Music Club,Astrophysics
225,Physics,Sports Team,"Leadership, Public Speaking, Programming, Problem Solving",Biology,2.87,"Spanish, English, Chinese, German","Art Club, Debate Club",Machine Learning
226,Mathematics,Volunteer Group,"Leadership, Public Speaking",Computer Science,3.26,"Chinese, English, French, German, Japanese","Music Club, Art Club, Debate Club, Coding Club, Sports Team, Volunteer Group",Climate Change
227,History,Coding Club,"Leadership, Problem Solving, Programming, Public Speaking",Mathematics,3.07,"Japanese, Chinese, Spanish, English","Art Club, Volunteer Group, Debate Club, Sports Team, Coding Club",Machine Learning
228,Psychology,Volunteer Group,Public Speaking,Computer Science,2.87,"Spanish, French, Chinese, German","Debate Club, Coding Club",Machine Learning
229,Computer Science,Sports Team,Leadership,Mathematics,3.78,"German, Spanish, French","Coding Club, Music Club",Data Science
230,Computer Science,Coding Club,"Programming, Public Speaking, Leadership, Artistic, Data Analysis",Biology,3.27,"Chinese, Japanese, French","Volunteer Group, Art Club, Coding Club, Debate Club, Sports Team, Music Club",Natural Language Processing
231,Psychology,Music Club,"Programming, Problem Solving, Artistic, Public Speaking, Leadership, Data Analysis",Biology,2.5,"Spanish, English, French, Japanese","Music Club, Art Club, Volunteer Group",Environmental Sustainability
232,Biology,Music Club,Data Analysis,Mathematics,3.75,Spanish,"Sports Team, Coding Club",Blockchain Technology
233,Biology,Coding Club,"Programming, Problem Solving, Data Analysis",Biology,2.53,"German, Japanese, English, French, Chinese","Music Club, Sports Team, Art Club, Coding Club, Volunteer Group",Educational Technology
234,Mathematics,Volunteer Group,"Programming, Leadership, Public Speaking, Data Analysis, Problem Solving",Biology,3.47,"Spanish, English, Chinese","Debate Club, Art Club, Music Club, Coding Club, Sports Team, Volunteer Group",Biomedical Engineering
235,Biology,Music Club,"Problem Solving, Public Speaking",History,3.64,"Spanish, English, French, Chinese","Music Club, Art Club, Sports Team, Debate Club",Educational Technology
236,Mathematics,Debate Club,Leadership,Physics,3.25,"German, French",Volunteer Group,Sustainable Agriculture
237,History,Coding Club,"Problem Solving, Leadership, Programming, Public Speaking, Data Analysis",Mathematics,3.06,"German, Japanese, French, Spanish","Art Club, Volunteer Group",Nanotechnology
238,Psychology,Music Club,"Problem Solving, Artistic, Leadership, Data Analysis, Programming, Public Speaking",History,3.47,"Japanese, German, French","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club, Coding Club",Healthcare Management
239,Biology,Music Club,"Programming, Data Analysis, Problem Solving, Public Speaking",Psychology,3.63,"English, French, German","Music Club, Sports Team, Art Club",Data Science
240,Mathematics,Music Club,Problem Solving,History,2.84,"Spanish, French, German, English","Sports Team, Volunteer Group, Coding Club, Debate Club, Art Club, Music Club",Quantum Computing
241,Physics,Volunteer Group,"Problem Solving, Programming, Leadership, Artistic, Public Speaking",Mathematics,2.73,"Japanese, German, Chinese","Sports Team, Volunteer Group, Debate Club, Music Club, Coding Club, Art Club",Biomedical Engineering
242,Biology,Music Club,"Problem Solving, Data Analysis",Physics,3.39,"English, German, French, Japanese, Chinese, Spanish","Volunteer Group, Sports Team, Music Club, Debate Club, Art Club",Environmental Sustainability
243,Biology,Art Club,"Data Analysis, Artistic, Leadership, Problem Solving, Programming, Public Speaking",Physics,3.09,Chinese,Art Club,Biomedical Engineering
244,Mathematics,Music Club,Artistic,Computer Science,3.19,"German, English, Spanish",Debate Club,Robotics
245,Biology,Sports Team,"Public Speaking, Programming",Biology,3.02,French,"Coding Club, Music Club, Debate Club, Volunteer Group",Environmental Sustainability
246,Physics,Debate Club,"Leadership, Public Speaking",Psychology,3.18,"French, Chinese, English, German, Spanish, Japanese","Volunteer Group, Coding Club, Debate Club, Art Club, Sports Team, Music Club",Educational Technology
247,Mathematics,Coding Club,Public Speaking,Biology,3.48,French,Music Club,Machine Learning
248,Physics,Music Club,"Data Analysis, Artistic, Leadership, Programming, Public Speaking, Problem Solving",History,2.21,"German, English, Chinese, French","Sports Team, Music Club, Volunteer Group, Art Club, Debate Club",Blockchain Technology
249,Computer Science,Volunteer Group,"Public Speaking, Data Analysis, Programming, Leadership, Artistic",Mathematics,3.59,"English, French","Debate Club, Volunteer Group, Coding Club, Sports Team, Music Club, Art Club",Bioinformatics
250,Biology,Coding Club,"Public Speaking, Problem Solving, Data Analysis, Artistic",Physics,2.58,"German, Spanish","Volunteer Group, Coding Club, Art Club, Sports Team, Debate Club",Data Science
251,Psychology,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming",History,3.24,Spanish,"Coding Club, Volunteer Group, Debate Club, Sports Team, Music Club, Art Club",Quantum Computing
252,Physics,Art Club,"Artistic, Programming, Problem Solving, Public Speaking, Leadership",Mathematics,2.11,"Chinese, Japanese, German","Music Club, Volunteer Group, Art Club, Sports Team, Debate Club, Coding Club",Blockchain Technology
253,Mathematics,Art Club,"Artistic, Data Analysis, Programming, Leadership, Problem Solving",Computer Science,2.43,"Chinese, French, German, Spanish, Japanese, English","Art Club, Coding Club, Music Club, Debate Club, Sports Team",Renewable Energy
254,Physics,Debate Club,"Programming, Public Speaking, Artistic",Mathematics,2.56,"English, Japanese","Coding Club, Art Club, Debate Club, Sports Team, Music Club, Volunteer Group",Machine Learning
255,Computer Science,Debate Club,Public Speaking,Psychology,3.76,"Japanese, French, Spanish, Chinese, English","Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
256,History,Music Club,"Artistic, Public Speaking, Leadership, Problem Solving, Programming",Mathematics,3.8,"German, Spanish, French, English","Coding Club, Volunteer Group, Sports Team, Music Club, Debate Club, Art Club",Healthcare Management
257,Computer Science,Art Club,"Leadership, Programming, Artistic, Public Speaking",History,2.32,"Japanese, Spanish, German","Coding Club, Art Club, Sports Team, Debate Club, Music Club",Educational Technology
258,Biology,Music Club,"Leadership, Programming, Data Analysis",Biology,2.37,"English, German, French, Chinese, Japanese, Spanish","Music Club, Art Club, Debate Club, Sports Team, Volunteer Group, Coding Club",Space Exploration
259,Psychology,Debate Club,"Public Speaking, Problem Solving, Leadership, Artistic",Biology,3.55,German,"Music Club, Sports Team, Debate Club, Coding Club",Quantum Computing
260,Psychology,Volunteer Group,"Programming, Data Analysis",Psychology,3.76,"Chinese, Japanese, German, Spanish","Music Club, Sports Team, Coding Club",Artificial Intelligence
261,Psychology,Volunteer Group,"Artistic, Public Speaking, Programming, Problem Solving, Leadership",Biology,3.75,"English, German, French, Chinese, Japanese, Spanish",Debate Club,Urban Planning
262,History,Coding Club,"Problem Solving, Leadership, Public Speaking",Computer Science,2.98,"French, Japanese, Chinese, Spanish","Music Club, Sports Team, Coding Club, Art Club",Sustainable Agriculture
263,Biology,Coding Club,"Artistic, Leadership, Public Speaking",Physics,2.17,"English, Japanese",Music Club,Educational Technology
264,Computer Science,Sports Team,"Public Speaking, Artistic",Biology,2.95,"English, Japanese, Chinese, German, Spanish, French",Sports Team,Quantum Computing
265,Computer Science,Music Club,"Data Analysis, Problem Solving",Mathematics,2.21,"Japanese, French, Chinese, German, Spanish, English","Debate Club, Art Club, Volunteer Group, Sports Team",Machine Learning
266,History,Coding Club,"Public Speaking, Problem Solving, Leadership",History,2.37,Japanese,"Debate Club, Music Club, Art Club, Coding Club, Sports Team, Volunteer Group",Biomedical Engineering
267,Psychology,Debate Club,"Leadership, Programming, Problem Solving, Artistic, Public Speaking",Computer Science,2.97,"Spanish, German","Art Club, Sports Team, Debate Club, Coding Club",Cybersecurity
268,Psychology,Music Club,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis, Artistic",History,3.35,Spanish,"Art Club, Music Club, Coding Club, Volunteer Group, Sports Team, Debate Club",Educational Technology
269,History,Debate Club,Data Analysis,Biology,3.23,"English, German, Spanish","Art Club, Coding Club, Volunteer Group, Debate Club, Music Club",Artificial Intelligence
270,Psychology,Music Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic, Programming",Mathematics,3.84,"Chinese, German, French, English","Coding Club, Volunteer Group",Sustainable Agriculture
271,History,Coding Club,"Problem Solving, Artistic, Programming, Data Analysis",Mathematics,3.84,"English, German, Spanish, Japanese","Debate Club, Coding Club, Sports Team, Music Club, Volunteer Group",Urban Planning
272,History,Volunteer Group,Data Analysis,Psychology,3.8,"French, English, German, Spanish, Japanese, Chinese","Coding Club, Sports Team, Music Club, Debate Club",Human-Computer Interaction
273,Computer Science,Art Club,Artistic,Physics,2.73,"English, German","Sports Team, Music Club, Art Club, Debate Club, Coding Club",Environmental Sustainability
274,History,Art Club,Problem Solving,Mathematics,3.07,"Chinese, German, French, Spanish, English, Japanese","Sports Team, Volunteer Group",Healthcare Management
275,Computer Science,Art Club,Programming,Biology,3.85,"Japanese, English, Chinese, French, Spanish, German","Volunteer Group, Music Club, Sports Team",Climate Change
276,Physics,Volunteer Group,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic, Programming",Physics,2.85,"French, English, Chinese, Japanese, German","Volunteer Group, Debate Club, Coding Club, Sports Team, Music Club",Healthcare Management
277,Physics,Music Club,"Artistic, Data Analysis, Programming, Leadership",Biology,3.1,"Japanese, English, French, German, Spanish","Volunteer Group, Coding Club, Debate Club",Human-Computer Interaction
278,Physics,Debate Club,Leadership,Computer Science,3.96,"Spanish, Chinese","Volunteer Group, Art Club, Coding Club, Sports Team, Music Club",Cybersecurity
279,Computer Science,Music Club,"Data Analysis, Public Speaking, Leadership",Mathematics,3.94,"German, Chinese","Sports Team, Art Club",Biomedical Engineering
280,Computer Science,Volunteer Group,Leadership,Psychology,2.83,"French, German, Japanese, English, Chinese",Volunteer Group,Quantum Computing
281,Physics,Volunteer Group,"Public Speaking, Problem Solving, Artistic, Data Analysis, Programming, Leadership",History,3.73,German,"Sports Team, Coding Club, Debate Club, Volunteer Group, Music Club",Bioinformatics
282,Biology,Art Club,"Leadership, Public Speaking",Mathematics,3.19,"Chinese, English, Spanish, Japanese, French, German","Volunteer Group, Sports Team, Music Club, Debate Club, Art Club, Coding Club",Environmental Sustainability
283,Physics,Volunteer Group,Public Speaking,Psychology,2.97,"English, French","Music Club, Debate Club, Art Club, Coding Club",Environmental Sustainability
284,Psychology,Art Club,"Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving",History,2.08,"Spanish, English, German","Music Club, Volunteer Group, Coding Club, Art Club",Artificial Intelligence
285,History,Art Club,Programming,Biology,3.28,"German, Chinese","Coding Club, Music Club, Sports Team, Volunteer Group, Art Club",Machine Learning
286,History,Music Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming, Leadership",Physics,3.3,"Spanish, French, German","Sports Team, Music Club, Debate Club, Art Club",Healthcare Management
287,Biology,Art Club,"Problem Solving, Data Analysis, Public Speaking, Artistic",Psychology,2.51,Spanish,"Sports Team, Music Club, Coding Club",Healthcare Management
288,Mathematics,Music Club,"Problem Solving, Public Speaking, Artistic",History,2.27,"Japanese, German","Sports Team, Art Club, Volunteer Group",Quantum Computing
289,Biology,Art Club,Artistic,Computer Science,3.17,"Chinese, Japanese","Volunteer Group, Debate Club",Behavioral Economics
290,Psychology,Volunteer Group,"Problem Solving, Public Speaking, Programming, Data Analysis, Artistic",Physics,3.57,"English, German, Japanese, French, Spanish","Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Bioinformatics
291,Physics,Debate Club,"Leadership, Problem Solving, Data Analysis",Physics,2.81,"Spanish, German","Debate Club, Art Club",Astrophysics
292,Psychology,Music Club,"Leadership, Public Speaking, Artistic, Problem Solving, Programming, Data Analysis",Psychology,3.06,"German, Japanese, French, Spanish, Chinese, English","Music Club, Debate Club",Machine Learning
293,Biology,Volunteer Group,"Data Analysis, Problem Solving",History,3.48,"Spanish, French, Chinese, English, Japanese","Volunteer Group, Debate Club, Art Club",Blockchain Technology
294,Physics,Art Club,"Problem Solving, Artistic, Public Speaking, Programming, Leadership",Mathematics,3.08,"German, French, Chinese","Art Club, Volunteer Group, Music Club",Sustainable Agriculture
295,Physics,Art Club,"Programming, Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",History,3.32,"German, English, Spanish, French, Chinese, Japanese","Debate Club, Coding Club, Volunteer Group, Sports Team, Art Club, Music Club",Cybersecurity
296,Biology,Debate Club,"Problem Solving, Programming",Psychology,2.86,Chinese,"Art Club, Volunteer Group, Debate Club, Coding Club",Space Exploration
297,Psychology,Debate Club,"Data Analysis, Leadership",Psychology,3.65,"Chinese, German, Japanese","Volunteer Group, Art Club",Space Exploration
298,Mathematics,Music Club,"Problem Solving, Programming",Computer Science,2.73,Spanish,"Debate Club, Music Club, Coding Club, Volunteer Group, Sports Team",Climate Change
299,History,Art Club,"Programming, Leadership",History,2.14,"English, Spanish","Music Club, Volunteer Group, Debate Club, Coding Club, Art Club",Environmental Sustainability
300,Psychology,Debate Club,"Artistic, Problem Solving",Biology,2.15,"Japanese, German, English, French","Debate Club, Art Club, Sports Team, Music Club, Volunteer Group",Renewable Energy
301,Mathematics,Music Club,"Public Speaking, Leadership, Data Analysis, Problem Solving, Artistic",Computer Science,2.05,"Spanish, Chinese, German","Art Club, Sports Team, Music Club, Coding Club",Sustainable Agriculture
302,Computer Science,Debate Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming",Psychology,2.3,"Chinese, German",Music Club,Cybersecurity
303,Computer Science,Music Club,"Artistic, Data Analysis, Programming",Biology,3.86,"Chinese, German, Spanish, Japanese, French, English",Debate Club,Bioinformatics
304,Mathematics,Music Club,"Artistic, Public Speaking",Physics,3.48,"English, Spanish, French, Chinese","Music Club, Coding Club, Art Club",Sustainable Agriculture
305,Computer Science,Art Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming, Data Analysis",Mathematics,3.45,"English, Spanish","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club",Sustainable Agriculture
306,Physics,Music Club,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic",Mathematics,2.64,"Chinese, German, Spanish","Debate Club, Volunteer Group, Coding Club, Music Club, Art Club, Sports Team",Blockchain Technology
307,Psychology,Coding Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic",Computer Science,2.49,"Japanese, French, Spanish, German, Chinese, English","Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team",Political Science
308,Mathematics,Music Club,Leadership,Physics,2.1,"French, English, Japanese, Chinese, German","Debate Club, Music Club",Machine Learning
309,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving",Mathematics,3.99,"German, Spanish, Japanese, French","Music Club, Sports Team, Volunteer Group, Debate Club, Coding Club, Art Club",Human-Computer Interaction
310,History,Sports Team,"Leadership, Problem Solving",Mathematics,3.89,"English, French, Chinese, Spanish, German","Volunteer Group, Debate Club, Music Club, Sports Team",Space Exploration
311,Physics,Sports Team,"Data Analysis, Programming, Problem Solving, Public Speaking, Artistic, Leadership",Physics,3.79,"German, English, Spanish, Japanese, French, Chinese","Art Club, Coding Club, Debate Club, Sports Team",Educational Technology
312,Biology,Volunteer Group,"Leadership, Problem Solving, Public Speaking, Programming, Artistic, Data Analysis",Mathematics,2.4,"Spanish, English","Debate Club, Volunteer Group, Music Club, Sports Team, Coding Club, Art Club",Climate Change
313,History,Music Club,"Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",Biology,3.7,Chinese,Art Club,Behavioral Economics
314,Mathematics,Art Club,Programming,Psychology,2.15,"English, German, Japanese, Chinese","Volunteer Group, Art Club",Sustainable Agriculture
315,Psychology,Art Club,"Artistic, Public Speaking, Leadership, Data Analysis",Mathematics,2.59,"Japanese, Chinese, Spanish, English, French, German",Sports Team,Data Science
316,Psychology,Music Club,"Artistic, Public Speaking, Leadership, Programming, Problem Solving, Data Analysis",History,2.97,Chinese,"Sports Team, Volunteer Group, Art Club",Educational Technology
317,Mathematics,Sports Team,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving",Psychology,2.23,"French, German, Chinese","Music Club, Debate Club, Volunteer Group, Art Club, Coding Club",Nanotechnology
318,History,Debate Club,"Artistic, Leadership",Psychology,2.02,"Spanish, Chinese, German",Coding Club,Cognitive Psychology
319,Computer Science,Music Club,Public Speaking,History,3.44,"English, Chinese, Japanese, Spanish","Coding Club, Art Club, Music Club",Healthcare Management
320,Psychology,Music Club,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis",Biology,2.75,"Chinese, German, Spanish, Japanese, English, French","Volunteer Group, Sports Team, Art Club",Blockchain Technology
321,Physics,Sports Team,Artistic,Physics,2.67,German,"Art Club, Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Artificial Intelligence
322,Mathematics,Debate Club,"Data Analysis, Artistic, Problem Solving, Leadership, Programming, Public Speaking",Biology,2.37,Japanese,"Music Club, Art Club, Debate Club, Sports Team, Coding Club, Volunteer Group",Robotics
323,Physics,Coding Club,"Data Analysis, Problem Solving, Programming",History,2.46,"Chinese, Japanese, English, Spanish","Art Club, Volunteer Group, Sports Team, Coding Club, Debate Club",Nanotechnology
324,Mathematics,Coding Club,"Data Analysis, Artistic, Public Speaking, Programming",Biology,2.39,"German, Japanese, French, English, Spanish",Volunteer Group,Astrophysics
325,Computer Science,Debate Club,"Artistic, Programming",History,3.81,"German, English, Chinese, Spanish, French, Japanese","Music Club, Volunteer Group, Debate Club, Sports Team, Art Club",Climate Change
326,History,Music Club,"Leadership, Data Analysis, Public Speaking",Biology,2.72,"English, Chinese",Coding Club,Environmental Sustainability
327,Psychology,Debate Club,"Leadership, Data Analysis, Problem Solving",History,3.65,"English, Spanish, Japanese, Chinese",Volunteer Group,Human-Computer Interaction
328,Computer Science,Volunteer Group,"Public Speaking, Programming, Artistic, Leadership",Psychology,2.74,"French, German, Chinese, Spanish","Music Club, Coding Club, Volunteer Group, Debate Club, Sports Team",Healthcare Management
329,Physics,Coding Club,"Leadership, Public Speaking",Computer Science,3.62,"French, Japanese, Spanish","Volunteer Group, Art Club",Artificial Intelligence
